ra,dec,total,teff
0,0,0,0
0,1,1,0
0,2,0,0
0,3,2,0
0,4,1,0
0,5,3,0
0,6,0,0
0,7,0,0
0,8,0,0
0.0,9.0,1.0,5472.3335
0,10,1,0
0,11,0,0
0,12,1,0
0,13,0,0
0,14,0,0
0,15,1,0
0,16,0,0
0,17,0,0
0,18,1,0
0.0,19.0,3.0,4432.7197
0,20,0,0
0,21,1,0
0,22,0,0
0,23,0,0
0,24,0,0
0,25,1,0
0,26,1,0
0,27,1,0
0,28,0,0
0,29,1,0
0,30,0,0
0,31,1,0
0,32,0,0
0,33,0,0
0.0,34.0,2.0,4828.7
0,35,2,0
0,36,0,0
0.0,37.0,2.0,8171.65
0,38,1,0
0,39,1,0
0,40,1,0
0,41,0,0
0,42,1,0
0,43,0,0
0,44,1,0
0,45,2,0
0,46,2,0
0,47,1,0
0,48,0,0
0,49,0,0
0,50,1,0
0.0,51.0,2.0,3375.0
0,52,1,0
0,53,0,0
0,54,1,0
0,55,0,0
0,56,1,0
0,57,0,0
0,58,1,0
0.0,59.0,1.0,6297.0
0,60,2,0
0,61,0,0
0,62,0,0
0,63,1,0
0,64,0,0
0,65,0,0
0,66,4,0
0,67,0,0
0,68,1,0
0,69,2,0
0.0,70.0,2.0,8649.5
0,71,1,0
0,72,1,0
0.0,73.0,3.0,7633.6665
0,74,0,0
0,75,3,0
0,76,1,0
0.0,77.0,2.0,3877.125
0,78,0,0
0,79,0,0
0,80,2,0
0,81,2,0
0,82,3,0
0,83,1,0
0,84,0,0
0,85,2,0
0,86,0,0
0,87,0,0
0,88,1,0
0,89,1,0
0,90,0,0
0.0,91.0,3.0,3845.01
0.0,92.0,2.0,5669.4
0,93,0,0
0,94,1,0
0,95,1,0
0,96,1,0
0,97,1,0
0.0,98.0,2.0,3670.0
0,99,2,0
1,0,0,0
1,1,1,0
1,2,0,0
1,3,0,0
1,4,0,0
1.0,5.0,2.0,5917.75
1.0,6.0,1.0,5281.92
1,7,0,0
1,8,1,0
1,9,1,0
1.0,10.0,2.0,3323.0
1,11,0,0
1,12,0,0
1,13,0,0
1.0,14.0,1.0,3304.0
1,15,0,0
1,16,1,0
1,17,2,0
1,18,0,0
1,19,3,0
1,20,2,0
1,21,1,0
1.0,22.0,3.0,5702.8
1.0,23.0,2.0,7899.0
1,24,1,0
1.0,25.0,1.0,4903.0
1,26,1,0
1,27,1,0
1.0,28.0,3.0,5468.0
1,29,1,0
1,30,1,0
1,31,0,0
1,32,1,0
1,33,0,0
1,34,1,0
1.0,35.0,1.0,5610.9336
1.0,36.0,1.0,3303.0
1.0,37.0,1.0,3970.53
1.0,38.0,3.0,3883.5276
1.0,39.0,3.0,5769.6934
1,40,2,0
1.0,41.0,2.0,3432.0
1,42,4,0
1,43,1,0
1.0,44.0,3.0,6268.0
1.0,45.0,6.0,3291.75
1.0,46.0,1.0,3906.65
1.0,47.0,6.0,8635.0
1,48,2,0
1,49,5,0
1,50,1,0
1,51,1,0
1.0,52.0,4.0,6169.8447
1,53,3,0
1.0,54.0,6.0,3426.3333
1.0,55.0,7.0,3745.95
1.0,56.0,9.0,5303.857
1.0,57.0,5.0,3512.74
1,58,6,0
1.0,59.0,3.0,3904.36
1,60,6,0
1.0,61.0,3.0,7867.983
1,62,6,0
1,63,5,0
1.0,64.0,4.0,3532.5999
1,65,10,0
1,66,4,0
1.0,67.0,4.0,3362.0
1.0,68.0,10.0,5885.5
1,69,5,0
1,70,4,0
1,71,5,0
1.0,72.0,4.0,8008.0
1,73,5,0
1.0,74.0,3.0,6500.186
1.0,75.0,6.0,4648.69
1.0,76.0,10.0,5310.285
1.0,77.0,3.0,5804.0
1,78,6,0
1.0,79.0,6.0,3639.6667
1,80,9,0
1,81,3,0
1.0,82.0,5.0,4510.5576
1,83,4,0
1,84,6,0
1,85,5,0
1.0,86.0,8.0,3586.6074
1,87,3,0
1,88,4,0
1,89,2,0
1,90,5,0
1,91,0,0
1,92,1,0
1,93,1,0
1,94,3,0
1,95,2,0
1,96,2,0
1,97,1,0
1,98,1,0
1,99,1,0
2,0,0,0
2.0,1.0,1.0,7382.0
2,2,1,0
2,3,1,0
2,4,2,0
2.0,5.0,1.0,4997.4434
2,6,0,0
2,7,0,0
2,8,0,0
2,9,0,0
2,10,0,0
2,11,0,0
2,12,0,0
2.0,13.0,2.0,5542.75
2,14,0,0
2,15,0,0
2,16,0,0
2,17,4,0
2,18,2,0
2,19,2,0
2,20,1,0
2.0,21.0,1.0,4851.75
2.0,22.0,2.0,4405.5
2.0,23.0,3.0,7841.0
2,24,3,0
2.0,25.0,6.0,5766.0
2,26,2,0
2,27,1,0
2,28,0,0
2,29,3,0
2.0,30.0,3.0,3691.3333
2,31,1,0
2,32,2,0
2.0,33.0,4.0,3833.9849
2,34,0,0
2.0,35.0,4.0,4823.3335
2,36,2,0
2.0,37.0,2.0,4020.07
2,38,2,0
2,39,4,0
2.0,40.0,5.0,5361.6665
2,41,0,0
2,42,1,0
2,43,1,0
2.0,44.0,4.0,5628.0
2.0,45.0,3.0,5215.175
2,46,3,0
2,47,3,0
2,48,4,0
2.0,49.0,5.0,4837.0
2.0,50.0,7.0,4460.0
2.0,51.0,9.0,5592.0
2.0,52.0,5.0,4232.5
2.0,53.0,8.0,5183.3047
2.0,54.0,3.0,3936.555
2.0,55.0,4.0,6334.5977
2.0,56.0,6.0,3642.0
2,57,5,0
2.0,58.0,5.0,5598.5146
2.0,59.0,8.0,6080.0
2,60,5,0
2,61,0,0
2,62,4,0
2.0,63.0,8.0,4168.7876
2.0,64.0,6.0,5143.45
2.0,65.0,9.0,4067.4424
2.0,66.0,1.0,3791.57
2.0,67.0,4.0,4994.135
2.0,68.0,7.0,8675.5
2,69,5,0
2,70,5,0
2,71,5,0
2.0,72.0,9.0,8561.333
2.0,73.0,7.0,5679.04
2.0,74.0,7.0,5852.0
2.0,75.0,8.0,5306.6553
2.0,76.0,5.0,4676.2
2,77,6,0
2,78,4,0
2.0,79.0,5.0,3717.7102
2.0,80.0,7.0,5721.7563
2,81,6,0
2.0,82.0,2.0,5823.3335
2.0,83.0,3.0,5476.2095
2.0,84.0,5.0,3526.3333
2,85,6,0
2,86,5,0
2,87,1,0
2,88,6,0
2,89,4,0
2,90,3,0
2,91,4,0
2,92,4,0
2.0,93.0,3.0,3669.6667
2,94,0,0
2,95,1,0
2,96,2,0
2,97,5,0
2,98,4,0
2,99,2,0
3,0,1,0
3,1,0,0
3.0,2.0,1.0,3982.1934
3.0,3.0,2.0,5308.91
3,4,0,0
3,5,0,0
3,6,0,0
3,7,0,0
3,8,0,0
3,9,2,0
3,10,0,0
3,11,0,0
3,12,2,0
3,13,1,0
3,14,0,0
3,15,1,0
3,16,0,0
3,17,1,0
3,18,0,0
3.0,19.0,3.0,5553.3335
3.0,20.0,1.0,3999.0
3.0,21.0,3.0,3572.0
3,22,0,0
3,23,1,0
3,24,1,0
3,25,0,0
3.0,26.0,3.0,3915.1274
3.0,27.0,2.0,3964.3633
3,28,2,0
3,29,1,0
3,30,2,0
3.0,31.0,2.0,3676.25
3,32,1,0
3.0,33.0,3.0,4061.883
3.0,34.0,4.0,8355.667
3,35,3,0
3.0,36.0,3.0,5809.0
3,37,1,0
3,38,2,0
3.0,39.0,2.0,5056.16
3,40,4,0
3,41,0,0
3.0,42.0,4.0,3513.6667
3.0,43.0,5.0,5365.0
3.0,44.0,3.0,7481.6665
3.0,45.0,1.0,5787.0
3,46,4,0
3,47,0,0
3.0,48.0,2.0,4822.0
3.0,49.0,6.0,5623.6
3,50,0,0
3,51,4,0
3.0,52.0,8.0,4100.0
3.0,53.0,5.0,3681.0
3.0,54.0,3.0,5110.0435
3.0,55.0,3.0,3867.0
3.0,56.0,7.0,4132.9937
3.0,57.0,5.0,4893.0
3,58,6,0
3.0,59.0,3.0,6397.0
3,60,4,0
3.0,61.0,6.0,5349.0
3,62,6,0
3.0,63.0,5.0,4262.725
3.0,64.0,4.0,3302.5
3,65,4,0
3.0,66.0,2.0,3805.925
3.0,67.0,5.0,3905.75
3.0,68.0,8.0,3821.6035
3.0,69.0,6.0,4510.557
3.0,70.0,8.0,5800.0
3.0,71.0,11.0,6784.3335
3.0,72.0,12.0,4258.64
3,73,3,0
3.0,74.0,7.0,6180.0933
3.0,75.0,8.0,4018.75
3,76,9,0
3,77,5,0
3.0,78.0,4.0,3847.4834
3,79,7,0
3,80,6,0
3,81,7,0
3,82,6,0
3,83,6,0
3,84,5,0
3,85,6,0
3.0,86.0,5.0,3804.95
3.0,87.0,6.0,3904.6667
3,88,7,0
3,89,0,0
3,90,2,0
3,91,3,0
3,92,1,0
3,93,3,0
3,94,4,0
3,95,5,0
3,96,2,0
3,97,3,0
3,98,4,0
3,99,3,0
4,0,0,0
4,1,2,0
4.0,2.0,2.0,5791.0
4.0,3.0,3.0,5787.8804
4,4,0,0
4,5,0,0
4.0,6.0,3.0,5942.75
4,7,0,0
4.0,8.0,2.0,5838.0
4,9,0,0
4,10,0,0
4,11,0,0
4.0,12.0,1.0,4228.6665
4,13,0,0
4,14,1,0
4.0,15.0,2.0,5032.5825
4,16,1,0
4,17,1,0
4.0,18.0,1.0,4260.5723
4,19,0,0
4.0,20.0,1.0,3980.1003
4.0,21.0,2.0,5369.6665
4,22,1,0
4,23,0,0
4.0,24.0,3.0,4276.793
4,25,1,0
4,26,2,0
4,27,0,0
4.0,28.0,4.0,5114.0
4,29,3,0
4.0,30.0,1.0,5629.27
4.0,31.0,3.0,3636.07
4,32,1,0
4,33,1,0
4,34,0,0
4.0,35.0,4.0,3645.1233
4,36,3,0
4.0,37.0,5.0,4142.5547
4,38,5,0
4.0,39.0,3.0,8863.5
4.0,40.0,3.0,4889.0
4.0,41.0,5.0,4955.0405
4.0,42.0,4.0,5435.3335
4,43,1,0
4.0,44.0,2.0,5054.77
4,45,4,0
4.0,46.0,5.0,3699.85
4.0,47.0,5.0,5143.45
4.0,48.0,4.0,4344.1064
4,49,1,0
4,50,3,0
4.0,51.0,5.0,4416.6665
4.0,52.0,4.0,4630.925
4.0,53.0,4.0,3890.4248
4,54,3,0
4.0,55.0,5.0,4149.4697
4,56,1,0
4,57,2,0
4,58,2,0
4.0,59.0,6.0,5273.5
4,60,3,0
4,61,1,0
4.0,62.0,1.0,4129.5
4,63,1,0
4,64,7,0
4,65,2,0
4.0,66.0,4.0,3828.0
4.0,67.0,7.0,8868.667
4.0,68.0,6.0,3598.225
4.0,69.0,11.0,4848.5
4,70,3,0
4.0,71.0,6.0,5555.08
4.0,72.0,9.0,4344.17
4.0,73.0,8.0,5292.1426
4.0,74.0,6.0,4435.0
4.0,75.0,9.0,8071.0
4.0,76.0,6.0,4450.91
4,77,5,0
4.0,78.0,5.0,3694.18
4,79,4,0
4.0,80.0,13.0,4275.2534
4,81,3,0
4.0,82.0,9.0,5631.6934
4,83,7,0
4,84,7,0
4,85,3,0
4,86,4,0
4,87,5,0
4,88,5,0
4,89,1,0
4,90,1,0
4.0,91.0,5.0,4344.36
4,92,6,0
4,93,3,0
4,94,0,0
4,95,2,0
4,96,2,0
4,97,3,0
4.0,98.0,3.0,4018.4
4,99,1,0
5.0,0.0,1.0,4921.815
5.0,1.0,2.0,5760.88
5.0,2.0,1.0,3867.4624
5,3,0,0
5,4,0,0
5,5,0,0
5,6,1,0
5,7,2,0
5,8,1,0
5.0,9.0,2.0,6705.0
5.0,10.0,2.0,7731.0
5.0,11.0,1.0,4770.0
5.0,12.0,3.0,3824.7
5,13,0,0
5,14,0,0
5,15,1,0
5,16,0,0
5,17,0,0
5,18,1,0
5,19,0,0
5,20,0,0
5,21,2,0
5.0,22.0,3.0,3912.905
5.0,23.0,2.0,3719.0
5,24,1,0
5.0,25.0,1.0,3917.0125
5.0,26.0,2.0,5800.607
5.0,27.0,4.0,6518.3555
5,28,2,0
5,29,1,0
5,30,1,0
5,31,1,0
5,32,0,0
5,33,2,0
5.0,34.0,2.0,3775.9402
5,35,2,0
5,36,0,0
5.0,37.0,5.0,4920.25
5,38,2,0
5.0,39.0,4.0,4160.79
5,40,2,0
5.0,41.0,2.0,4034.125
5.0,42.0,4.0,9307.0
5,43,2,0
5.0,44.0,3.0,3955.5825
5.0,45.0,4.0,4118.1675
5,46,1,0
5.0,47.0,4.0,4135.64
5.0,48.0,6.0,5076.0
5.0,49.0,2.0,3994.45
5,50,6,0
5.0,51.0,3.0,4259.0
5,52,4,0
5.0,53.0,3.0,5316.7
5.0,54.0,4.0,3656.6667
5.0,55.0,3.0,3598.0
5.0,56.0,6.0,5396.0
5.0,57.0,8.0,5380.0
5,58,3,0
5.0,59.0,4.0,5095.6333
5.0,60.0,10.0,4704.0
5.0,61.0,4.0,6246.3003
5.0,62.0,7.0,5260.0
5,63,4,0
5.0,64.0,7.0,5076.0
5.0,65.0,6.0,3744.0
5,66,5,0
5.0,67.0,9.0,5861.0
5,68,4,0
5.0,69.0,7.0,4012.71
5.0,70.0,9.0,3721.6401
5.0,71.0,9.0,3901.0
5.0,72.0,4.0,9593.0
5.0,73.0,10.0,5803.4746
5.0,74.0,9.0,9522.75
5.0,75.0,7.0,4192.0
5.0,76.0,12.0,5800.0
5,77,2,0
5.0,78.0,6.0,3786.355
5,79,3,0
5,80,5,0
5,81,6,0
5.0,82.0,9.0,3820.0
5,83,6,0
5,84,5,0
5,85,5,0
5,86,5,0
5,87,1,0
5,88,0,0
