#
# Data file created by trmeshi_ssv.m on 28-Nov-2016
#
# Vertex list:  x y
 479  Number of vertices
         9.36729866e-01         7.14482643e-01
         9.06496636e-01         8.66117586e-01
         7.48447035e-01         8.71394131e-01
         7.16308532e-01         8.23155719e-01
         5.89174402e-01         6.88187920e-01
         4.70791732e-01         7.22234779e-01
         4.22173312e-01         6.62966531e-01
         3.35174410e-01         7.18960620e-01
         2.44581437e-01         7.31833603e-01
         2.92761756e-01         8.41661327e-01
         7.32125538e-02         8.87209173e-01
         6.38419320e-02         9.50143770e-01
         1.01599864e-02         9.84080429e-01
        -3.57575101e-02         9.81826344e-01
        -2.21235614e-01         9.75862900e-01
        -2.62366298e-01         8.95984418e-01
        -3.03849132e-01         9.00109237e-01
        -5.11418459e-01         8.44418840e-01
        -5.57082314e-01         8.64053264e-01
        -7.32959202e-01         8.08990959e-01
        -7.19902881e-01         9.12486346e-01
        -7.85896067e-01         9.81280710e-01
        -8.08960049e-01         9.84263640e-01
        -9.18805981e-01         8.54662056e-01
        -9.50324179e-01         8.35864542e-01
        -9.77236094e-01         7.02683112e-01
        -9.55113677e-01         6.77161018e-01
        -9.47635609e-01         6.15995562e-01
        -9.65165788e-01         5.94162425e-01
        -9.84566308e-01         5.50342232e-01
        -9.40233408e-01         2.29607816e-01
        -9.12649272e-01         8.71961557e-02
        -9.83911939e-01        -3.20259783e-02
        -8.97066067e-01        -5.32960466e-02
        -8.85050950e-01        -6.24546177e-02
        -8.83099194e-01        -7.90097079e-02
        -9.29392710e-01        -1.72980815e-01
        -9.13541720e-01        -2.79550070e-01
        -9.79437587e-01        -3.63038478e-01
        -9.20091377e-01        -4.82629819e-01
        -8.51336631e-01        -5.37289949e-01
        -7.76776542e-01        -6.39529728e-01
        -7.35777242e-01        -6.12036616e-01
        -6.68297001e-01        -6.75649986e-01
        -5.96554654e-01        -6.68282581e-01
        -4.58020319e-01        -8.10699887e-01
        -4.69832751e-01        -8.57489846e-01
        -5.17590765e-01        -9.75403188e-01
        -6.54686054e-02        -9.46776216e-01
         2.63440604e-02        -9.90704834e-01
         1.47056840e-01        -9.25309483e-01
         1.91462756e-01        -8.62497645e-01
         2.36802659e-01        -8.52228646e-01
         3.12401909e-01        -8.46813956e-01
         4.08834016e-01        -8.24030621e-01
         4.81360899e-01        -8.14302916e-01
         6.12444422e-01        -8.11627039e-01
         6.85039870e-01        -9.57784719e-01
         7.99024615e-01        -7.65861128e-01
         8.32849509e-01        -7.74330447e-01
         9.93766613e-01        -7.99904386e-01
         9.57586611e-01        -6.29366472e-01
         9.78129640e-01        -5.96049179e-01
         9.39422447e-01        -5.11750441e-01
         9.73766175e-01        -4.21082681e-01
         9.07258834e-01        -2.71268924e-01
         9.57417199e-01        -2.29340148e-01
         9.21223424e-01        -1.18863426e-01
         9.28463159e-01        -8.02976024e-02
         8.87064039e-01         3.32829558e-02
         8.59341709e-01         6.81734458e-02
         8.98208864e-01         1.75163766e-01
         9.19987323e-01         2.32708720e-01
         8.47064670e-01         4.03164630e-01
         9.56556390e-01         4.97768186e-01
         9.56567388e-01         5.27898006e-01
         8.55738365e-01         6.60119259e-01
        -1.80740094e-01        -5.14146389e-02
        -3.69718093e-01        -1.72698184e-01
         5.16230745e-02         1.32583583e-01
         8.21776415e-02        -1.76321310e-01
        -3.78816556e-01         6.54625594e-02
        -2.30916724e-01         2.23654076e-01
        -8.37641864e-01         9.50423437e-01
         2.90060089e-01        -2.83741557e-01
        -1.50346552e-01        -2.96569691e-01
        -5.95705638e-01         3.50235748e-01
        -3.71611270e-01         8.81928803e-01
         2.95193701e-01        -1.64427126e-02
         2.84395659e-01         2.05560751e-01
        -4.22219606e-01         2.67494393e-01
        -3.28448872e-01        -9.63427310e-01
        -9.60582081e-01         7.85100334e-01
         6.25184813e-02        -3.93376187e-01
        -9.54364501e-01         3.31841778e-01
        -5.19465430e-01        -7.47532534e-01
        -5.13593001e-01        -5.45456884e-02
        -6.97034604e-02         3.49730148e-01
         3.92979607e-01        -4.64031320e-01
         4.87875230e-01        -1.30872332e-01
         5.72890430e-01        -4.26941766e-01
        -8.81124630e-01         8.99120350e-01
         4.84641985e-01        -3.27968346e-01
         1.32899988e-02         4.94560853e-01
         6.02468320e-01        -2.66990557e-01
        -4.67429171e-01         4.52279955e-01
        -1.14276524e-01        -4.84839173e-01
         9.17938687e-01        -5.14231875e-02
         4.50044985e-01         2.73450106e-01
        -6.04099198e-01         5.20093428e-01
        -2.85348887e-01         3.92085567e-01
         6.42396563e-01         5.57363583e-01
        -1.32691446e-01         9.78709749e-01
        -5.07917514e-01        -2.53196840e-01
        -1.67196939e-01         5.07365367e-01
         8.91379278e-01         6.13381861e-01
         6.19070381e-02        -5.62156102e-01
         1.55788702e-02         6.44357531e-01
        -6.88035154e-01         6.32380283e-01
        -1.01124377e-01        -6.28917637e-01
        -1.09060300e-01         6.36145305e-01
        -7.31010597e-01         5.29754655e-01
        -1.78700103e-01         7.14425244e-01
        -9.00548744e-01         8.76202834e-01
        -3.28296515e-01        -3.88752000e-01
        -3.39580923e-01         8.90522476e-01
         2.32904716e-01         8.54079314e-01
         6.23534408e-01        -1.25972327e-01
        -6.62888981e-01         8.30928053e-01
        -5.71838112e-01         1.51453160e-01
         5.30554524e-01        -5.53361804e-01
        -5.55754034e-01        -7.10226800e-01
         4.57627717e-01         1.00263913e-01
         1.32050321e-01         3.37166256e-01
        -4.10215924e-01         8.71571259e-01
         7.06014328e-01        -9.22468649e-01
         9.47857050e-01        -2.00159054e-01
